項次編號,年度,月份,日,捐贈者,捐贈財物,捐贈用途
1,113,1,8,社團法人台北市社新福德功德會,捐贈消防警備車1輛(中華 FU2443H5A 廂式 消防救災車),執行救災勤務使用
2,113,1,17,謝○○,捐贈成人血氧及一氧化碳感測線1套,執行救護勤務使用
3,113,1,17,蘇○○,"捐贈本局保暖衣2,000件",執行救災勤務使用
4,113,2,5,傅○○,捐贈本局重訓器材1批,同仁訓練使用
5,113,2,22,盧○,捐贈救生毯300包,執行救災勤務使用
6,113,2,22,簡○○,捐贈消防警備車1輛,執行救災勤務使用
7,113,3,4,富御國際商務有限公司,捐贈救護器（耗）材一批,執行救護勤務使用
8,113,3,12,財團法人臺北市海光宮慈善基金會,捐贈大型水箱消防車1輛,執行救災勤務使用
9,113,3,12,臺北市葫蘆堵福德文化慈善協會,捐贈大型水箱消防車1輛,執行救災勤務使用
10,113,3,14,財團法人台北市朱厝崙福聚宮,捐贈小型水箱消防車1輛,執行救災勤務使用
11,113,3,14,財團法人台北市中庄仔福德宮,捐贈小型水箱消防車1輛,執行救災勤務使用
12,113,3,22,周○○,捐贈臺北市搜救隊保暖外套70件,執行救災勤務使用
13,113,3,29,國際扶輪3523地區,捐贈救護車1輛((VOLKSWAGEN/KOMBI L HR 2.0 TDI,執行救護勤務使用
14,113,4,11,台北市菁英獅子會,捐贈消防警備車1輛,執行救災勤務使用
15,113,4,11,蔡○○,12導程心電圖機套組1組,執行救護勤務使用
16,113,4,18,新世紀資通股份有限公司,捐贈「5G緊急救護應用設備」2套,執行救護勤務使用
17,113,4,19,林○○,捐贈本市搜救隊儲能行動電源3臺,執行救災勤務使用
18,113,4,19,勤力合實業股份有限公司,捐贈本市搜救隊儲能行動電源3臺與專用太陽能板組6組,執行救災勤務使用
19,113,4,23,台北市菁英獅子會,捐贈搶救器材一批,執行救災勤務使用
20,113,5,7,林○○,捐贈「12導程心電圖機套組1組」,執行救護勤務使用
21,113,5,9,台北府城隍廟,捐贈電動車緊急插頭5組,執行救災勤務使用
22,113,5,13,林○○,捐贈消防警備車1輛,執行救災勤務使用
23,113,5,15,陳○○,捐贈本市搜救犬小組搜救犬零食一批,執行救災勤務使用
24,113,5,17,財團法人佛光山慈悲社會福利基金會,"捐贈住宅用火災警報器1,500只",火災預防使用
25,113,5,21,台北市文昌宮,捐贈大型水箱消防車1輛,執行救災勤務使用
26,113,5,24,松山慈惠堂,捐贈消防警備車1輛,執行救災勤務使用
27,113,5,27,財團法人台北市覺修宮,捐贈救護車1輛(含救護器耗材),執行救護勤務使用
28,113,5,28,人一醫療器材股份有限公司,影像式喉頭鏡4組,執行救護勤務使用
29,113,6,3,合通綠能股份有限公司,捐贈滅火毯3組,執行救災勤務使用
30,113,6,3,張○○,捐贈「攜帶型氣動式自動甦醒器21組」、「救護車置物空間隔板67組」及「FR3拋棄式電池12組」,執行救護勤務使用
31,113,6,12,臺灣集中保管結算所股份有限公司,捐贈戰術手電筒160組、電動車緊急插頭1組、靜音變頻發電機3組及頭盔攝影機8組,執行救災勤務使用
32,113,6,17,財金資訊股份有限公司,捐贈電動推頂桿1組,執行救災勤務使用
33,113,6,24,財團法人英業達集團公益慈善基金會,捐贈住宅用火災警報器500只,火災預防使用
34,113,7,2,亞洲聯合國際貿易有限公司,捐贈消防後勤車1輛,執行救災勤務使用
35,113,7,4,財團法人台北市南海普陀山慧濟寺,捐贈小型水箱消防車1輛,執行救災勤務使用
36,113,7,15,上洋產業股份有限公司,捐贈「Zoll X Series Advanced升級套組2組」,執行救護勤務使用
37,113,7,15,文○○,捐贈「Zoll X Series Advanced升級套組2組」,執行救護勤務使用
38,113,7,17,張○○,捐贈Power Bar儲能行動電源1組、折疊式太陽能板1組、FCE FIREGO I耐溫影像紀錄器19組,執行救災勤務使用
39,113,7,26,李○○,捐贈「LUCAS 3自動心肺復甦機1組」,執行救護勤務使用
40,113,8,5,林○○,捐贈消防警備車1輛及重訓器材1組,執行救災勤務使用
41,113,8,6,台北市甘丹東頂顯密佛學研修協會,捐贈救護車1輛,執行救護勤務使用
42,113,8,6,財團法人九府仙師普惠堂,捐贈救護車1輛,執行救護勤務使用
43,113,8,13,知常投資有限公司,捐贈滅火毯3組,執行救災勤務使用
44,113,8,22,臺灣集中保管結算所股份有限公司,捐贈斜口油壓破壞剪1組及電動油壓撐開器1組,執行救災勤務使用
45,113,8,23,攝影人數位影像製作股份有限公司,捐贈救護車1輛,執行救護勤務使用
46,113,8,23,三星營造股份有限公司,捐贈救護車1輛,執行救護勤務使用
47,113,8,27,訊凱國際股份有限公司,捐贈電腦設備零組件（含螢幕、滑鼠、鍵盤及辦公椅）11組,執行指揮勤務使用
48,113,8,27,財團法人台北市關渡宮,捐贈電動三用破門器2組,執行救災勤務使用
49,113,8,30,陳○○,捐贈「12導程心電圖機套組4組」,執行救護勤務使用
50,113,9,2,社團法人台北市通化福德財神慈善協會,捐贈消防救災器材一批,執行救災勤務使用
51,113,9,24,社團法人國際獅子會台灣總會台北市第三支會,捐贈大型水箱消防車1輛,執行救災勤務使用
52,113,9,25,松山慈惠堂,捐贈救護車2輛,執行救護勤務使用
53,113,9,26,社團法人臺北市艋舺三條路福德協會,捐贈救護車1輛,執行救護勤務使用
54,113,10,15,華碩電腦股份有限公司,"捐贈住宅用火災警報器1,000只",火災預防使用
55,113,10,24,慈悟寺,捐贈滅火毯5組及電動車緊急插頭5組,執行救災勤務使用
56,113,10,24,台灣亞衛有限公司,捐贈滅火毯6組及電動車緊急插頭5組,執行救災勤務使用
57,113,10,24,照護世界股份有限公司,捐贈滅火毯6組及電動車緊急插頭5組,執行救災勤務使用
58,113,11,8,麗波永康國際診所,捐贈12導程心電圖電極貼片100片,執行救護勤務使用
59,113,11,8,蘇○○,捐贈12導程心電圖電極貼片20片,執行救護勤務使用
60,113,11,8,松山奉天宮,捐贈消防救災救護器材一批,執行救災勤務使用
61,113,11,14,台北府城隍廟,捐贈電動車緊急插頭9組,執行救災勤務使用
62,113,11,18,王○,捐贈「嬰兒QCPR氣道處理全身訓練假人組1組」,執行救護勤務使用
63,113,11,19,楨榕發興業有限公司,捐贈變頻靜音發電機7臺,執行救災勤務使用
64,113,11,19,李○○,捐贈「兒童壓脈帶50組」,執行救護勤務使用
65,113,11,20,財團法人台北葫蘆寺,捐贈救護車2輛,執行救護勤務使用
66,113,11,25,財團法人台北市景美集應廟,捐贈消防警備車2輛及裝備器材1批,執行救災勤務使用
67,113,11,26,趙○○,捐贈消防警備車1輛及救災救護裝備1批,執行救災勤務使用
68,113,11,28,晨達企業股份有限公司,捐贈消防救災器材一批,執行救災勤務使用
69,113,12,9,社團法人臺灣工作犬發展協會,捐贈領犬員急救包1批,執行救災勤務使用
70,113,12,11,財團法人臺北市北投慈善基金會,捐贈電動車電池滅火系統1組,執行救災勤務使用
71,113,12,11,華碩電腦股份有限公司,捐贈電動車電池滅火系統5組,執行救災勤務使用
72,113,12,11,簡○○,捐贈「12導程心電圖機套組20組」,執行救護勤務使用
73,113,12,11,士林電機廠股份有限公司,捐贈專業健身器材,同仁訓練使用
74,113,12,11,新竹物流股份有限公司,捐贈專業健身器材,同仁訓練使用
75,113,12,11,國賓大飯店股份有限公司,捐贈專業健身器材,同仁訓練使用
76,113,12,11,台北市消防協會,捐贈專業健身器材,同仁訓練使用
77,113,12,12,李○○,捐贈救災器材一批,執行救災勤務使用
78,113,12,18,生阡有限公司,捐贈「12導程心電圖機套組4組」,執行救護勤務使用
79,113,12,18,游○○,捐贈「12導程心電圖機套組4組」,執行救護勤務使用
80,113,12,20,台旭環境科技中心股份有限公司,捐贈紅外線熱顯像無人機1臺,執行救災勤務使用
81,113,12,23,顏○○,捐贈紅外線熱顯像無人機1臺,執行救災勤務使用
82,113,12,23,張○○,捐贈紅外線熱顯像無人機1臺,執行救災勤務使用
83,113,12,24,高○○,捐贈救護車1輛,執行救護勤務使用
84,113,12,24,財團法人台北市松山慈祐宮,捐贈救護車2輛,執行救護勤務使用
85,113,12,24,顏○○,捐贈臺北市義勇消防總隊救助器材車1輛,執行救災勤務使用
86,113,12,25,王○○,捐贈救護車2輛,執行救護勤務使用
87,113,12,25,劉○○及劉○○○○,捐贈救護車1輛,執行救護勤務使用
88,113,12,26,磐座建設股份有限公司,捐贈消防警備車1輛,執行救災勤務使用
89,113,12,27,阮○○,捐贈消防警備車1輛,執行救災勤務使用
90,113,12,27,蔡○○,捐贈臺北市義勇消防總隊消防警備車1輛及儲能行動電源4組,執行救災勤務使用
91,113,12,27,台北市消防協會,捐贈「消防安全檢查用平板電腦28臺」,火災預防使用
